Kia,Clarus,‐‐,97 ‐‐ 00,JFA0982,JFO0315,,JFC315,,,,
Kia,Grand Carnival,(EX) ‐ gasolina ‐ automático,2015 ‐‐>,JFA0K26,WOE913,TFW913,JFCK17,,AKX2019,,D
Kia,Magentis,‐‐,04 ‐‐ 05,JFA0H04,JFO0598,,JFCK11,,AKX1991,,D
Kia,Magentis,‐‐,06 ‐‐ 08,JFA0H04,JFO0598,,JFCK11,,AKX2003,AKX2003/C,D
Kia,Magentis,‐‐,2009 ‐‐>,JFA0H09,JFO0598,,JFCK11,,AKX2003,AKX2003/C,D
Kia,Mohave,gasolina ‐ automático,2009 ‐‐>,JFA0K23,WOE905,,JFCK11,,AKX1985,AKX1985/C,D
Kia,Mohave,gasolina ‐ automático,2009 ‐‐>,JFA0K23,WOE918,,,,AKX1985,AKX1985/C,D
Kia,Mohave,TD Turbo diesel ‐ automático,2008 ‐‐>,JFA0K23,WOE910,,JFCK12,,AKX1985,AKX1985/C,D
Kia,Opirus,(GL) ‐ gasolina ‐ automático,04 ‐‐ 07,JFA0H07,JFO0598,,,,AKX1989,,D
Kia,Opirus,(GL) ‐ gasolina ‐ automático,04 ‐‐ 07,JFA0H07,JFO0598,,,,AKX1989/1,,D
Kia,Opirus,(GL) ‐ gasolina ‐ automático,07 ‐‐ 09,JFA0K35,,,,,,,
Kia,Opirus,(GL) ‐ gasolina ‐ automático,08 ‐‐ 09,JFA0H07,WOE903,,,,AKX1989,,D
Kia,Opirus,(GL) ‐ gasolina ‐ automático,08 ‐‐ 09,JFA0H07,WOE903,,,,AKX1989/1,,D
Kia,Opirus,(GL) ‐ gasolina ‐ automático,2011 ‐‐>,JFA0H27,WOE903,,,,,,D
Kia,Optima,(EX / LX) ‐ gasolina ‐ automático,12 ‐‐ 14,JFA0H24,JFO0H01,,JFCH26,,AKX2007,AKX2007/C,D
Kia,Optima,(EX) ‐ gasolina ‐ automático,2015 ‐‐>,JFA0H36,JFO0H01,,JFCH26,,AKX2007,AKX2007/C,D
Kia,Picanto,‐‐,06 ‐‐ 11,JFA0K11,JFO0H00,,JFCK09,,AKX1988,,D
Kia,Picanto,(EX) ‐ gasolina ‐ automático / mecânico,06 ‐‐ 11,JFA0K11,JFO0H00,,JFCK09,,AKX1988,,D
Kia,Picanto,flex ‐ (EX) ‐ automático / mecânico,2011 ‐‐>,JFA0K16,JFO0H00,,FCI1615,,AKX2005,,D
Kia,Picanto,flex ‐ (GT),18 ‐‐ 19,JFA0K33,JFO0H00,,FCI1615,,AKX2005,,
Kia,Quoris,(EX) ‐ gasolina ‐ automático,2016 ‐‐>,JFA0H31,WOE918,,JFCH28,,AKX2013,,D
Kia,Rio,flex ‐ (EX / LX) ‐ automático,2020 ‐‐>,JFA0K34,JFO0H01,,FCI1630,,AKX2023,AKX2023/C,
Kia,Sephia,‐‐,93 ‐‐ 01,JFA0398,JFO0H00,,JFC315,,,,
Kia,Sephia,(LS / GTX) ‐ gasolina ‐ mecânico,93 ‐‐ 01,JFA0398,JFO0H00,,JFC315,,,,
Kia,Sephia,gasolina ‐ mecânico,2001,JFA0K07,JFO0H00,,JFCK05,,,,
Kia,Shuma,‐‐,98 ‐‐ 00,JFA0K07,JFO0H00,,JFCK05,,,,
Kia,Sorento,‐‐,06 ‐‐ 07,JFA0K10,WOE903,,JFCK06,,AKX1984,AKX1984/C,D
Kia,Sorento,‐‐,2008 ‐‐>,JFA0K10,WOE905,,JFCK07,,AKX1984,AKX1984/C,D
Kia,Sorento,‐‐,2015 ‐‐>,JFA0K26,WOE913,TFW913,JFCK17,,AKX2019,,D
Kia,Sorento,(S / EX) ‐ gasolina ‐ automático,04 ‐‐ 06,JFA0K10,JFO0315,,JFCK05,,AKX2003,AKX2003/C,D
Kia,Sorento,(S / EX) ‐ gasolina ‐ automático,2011 ‐‐>,JFA0H24,WOE913,TFW913,JFCK07,,AKX1985,AKX1985/C,D
Kia,Sorento,(S / EX) ‐ gasolina ‐ automático,2014 ‐‐>,JFA0H24,WOE913,TFW913,JFCH29,,AKX1985,AKX1985/C,D
Kia,Sorento,(S) ‐ gasolina ‐ automático,10 ‐‐ 13,JFA0H24,JFO0H01,,JFCH29,,AKX1985,AKX1985/C,D
Kia,Sorento,(S) ‐ gasolina ‐ automático,2014 ‐‐>,JFA0H32,JFO0H01,,JFCH29,,AKX1985,AKX1985/C,D
Kia,Sorento,CRDI diesel ‐ (EX / LX / LXE) ‐ automático / mecânico,2006,JFA0K10,JFO0K06,,JFCK05/2,,AKX1983‐2,,D
Kia,Sorento,CRDI diesel ‐ (EX / LX / LXE) ‐ automático / mecânico,2007,JFA0K10,JFO0K06,,JFCK05/3,,AKX1983‐2,,D
Kia,Sorento,CRDI diesel ‐ (EX / LX / LXE) ‐ automático / mecânico,04 ‐‐ 05,JFA0K10,JFO0K06,,JFCK05/1,,AKX2003,AKX2003/C,D
Kia,Sorento,CRDI diesel ‐ (EX / LX / LXE) ‐ automático / mecânico,2008 ‐‐>,JFA0K10,JFO0K06,,JFCK05/4,,AKX1983‐2,,D
Kia,Soul,flex ‐ automático / mecânico,11 ‐‐ 13,JFA0H27,JFO0598,,FCI1618,,AKX1987,AKX1987/C,D
Kia,Soul,flex (EX) ‐ automático / mecânico,2013 ‐‐>,JFA0H27,JFO0598,,FCI1618,,AKX2020,,D
Kia,Soul,gasolina ‐ automático / mecânico,2009 ‐‐>,JFA0K22,JFO0598,,JFCK13,,AKX1987,AKX1987/C,D
Kia,Sportage,‐‐,01 ‐‐ 04,JFA0395,JFO0315,,JFCK04,,,,
Kia,Sportage,(DLX) ‐ gasolina ‐ automático / mecânico,96 ‐‐ 01,JFA0395,JFO0315,,JFC394,,,,
Kia,Sportage,(EX / LX) ‐ gasolina ‐ automático / mecânico,05 ‐‐ 08,JFA0H12,JFO0598,,JFCH18/1,,AKX1984,AKX1984/C,D
Kia,Sportage,(EX / LX) ‐ gasolina ‐ automático / mecânico,08 ‐‐ 10,JFA0H21,JFO0H01,,JFCH25,,AKX1984,AKX1984/C,D
Kia,Sportage,(EX) ‐ gasolina ‐ automático / mecânico,2005 ‐‐>,JFA0H12,JFO0598,,JFCH18/1,,AKX1984,AKX1984/C,D
Kia,Sportage,(EX) ‐ gasolina ‐ automático / mecânico,2010 ‐‐>,JFA0H21,JFO0H01,,JFCH25,,AKX1984,AKX1984/C,D
Kia,Sportage,diesel ‐ automático / mecânico,95 ‐‐ 96,JFA0388,WO360,,JFC509,JFC509/2,,,
Kia,Sportage,flex ‐ (EX / LX) ‐ automático / mecânico,11 ‐‐ 15,JFA0H21,JFO0H01,,FCI1615,,AKX1984,AKX1984/C,D
Kia,Sportage,flex ‐ (EX / LX) ‐ automático / mecânico,2016 ‐‐>,JFA0K28,JFO0598,,JFCH29,,AKX1998,AKX1998/C,D
Kia,Sportage,Turbo diesel ‐ (DLX) ‐ automático / mecânico,99 ‐‐ 02,JFA0388,WO360,,JFCK01,,,,
Kia,Stonic,Híbrido ‐ (SX Turbo) ‐ gasolina / automático,2022 ‐‐>,JFA0K34,JFO0H00,,JFCH35,,AKX1998,AKX1998/C,
Lamborghini,Galant,Gallardo ‐ gasolina ‐ automático,09 ‐‐ 13,JFA0A16‐2,,,,,,,
Land Rover,Defender,90,97 ‐‐ 05,JFA0514,WO290,,FCD0296,,,,
Land Rover,Defender,110,97 ‐‐ 07,JFA0514/1,WO290,,FCD2058,FCD2058B,,,
Land Rover,Defender,‐‐,97 ‐‐ 07,JFA0514,WO290,,FCD0296,,,,
Land Rover,Defender,110 4x4 ‐ (S / SE / HSE) ‐ gasolina,2020 ‐‐>,FAP4878,,,,,,AKX2202/C,
Land Rover,Defender,110 Turbo diesel ‐ (Limited / SVX / SW) ‐ mecânico,07 ‐‐ 11,FAP4868,WOE710,TFW710,FCD0183,,,,
Land Rover,Defender,130 Turbo diesel ‐ mecânico,07 ‐‐ 11,FAP4868,WOE710,TFW710,FCD0183,,,,
Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Land Rover,Defender,130 Turbo diesel ‐ mecânico,10 ‐‐ 11,FAP4868,WOE710,TFW710,,,,,
Land Rover,Defender,130 Turbo diesel ‐ mecânico,97 ‐‐ 07,JFA0514/1,WO290,,FCD2058,FCD2058B,,,
Land Rover,Defender,90 Turbo diesel ‐ (Limited / SVX / Raw) ‐ mecânico,07 ‐‐ 11,FAP4868,WOE710,TFW710,FCD0183,,,,
Land Rover,Defender,90 Turbo diesel ‐ mecânico,97 ‐‐ 07,JFA0514,WO290,,FCD0296,,,,
Land Rover,Discovery,‐‐,00 ‐‐ 04,FAP4870,WO180,WUNI0001,FCI1117,,,,
Land Rover,Discovery,‐‐,96 ‐‐ 99,FAP4849,WO180,WUNI0001,FCI1117,,,,
Land Rover,Discovery,gasolina ‐ automático / mecânico,96 ‐‐ 00,FAP4849,WO250,,FCI1117,,,,
Land Rover,Discovery,MPI ‐ gasolina ‐ mecânico,1993 ‐‐>,FAP4849,WO550,,FCI1117,,,,
Land Rover,Discovery,SD4 ‐ (Sport HSE / HSE Luxury / SE) ‐ diesel ‐ automático,2015 ‐‐>,FAP9287,WOE710,TFW710,FCD0940,,AKX1938,AKX1938/C,E
Land Rover,Discovery,Si4 ‐ (Sport HSE / HSE Luxury / SE) ‐ gasolina ‐ automático,2015 ‐‐>,FAP9287,WO153,,JFCL12,,AKX1938,AKX1938/C,E
Land Rover,Discovery,Sport ‐ (SE / HSE / Luxury) ‐ automático,2015 ‐‐>,FAP9294,,,,,,,
Land Rover,Discovery,Sport ‐ (TD4 S/SE/R‐Dynamic) – automático ‐ diesel,2017 ‐‐>,FAP9294,WOE247,,JFCL11,,,,
Land Rover,Discovery,Turbo diesel ‐ (ES) ‐ automático / mecânico,89 ‐‐ 91,JFA0514,WO350,,FCD2058,FCD2058B,,,
Land Rover,Discovery,Turbo diesel ‐ (ES) ‐ automático / mecânico,91 ‐‐ 93,JFA0514,WO290,,FCD2058,FCD2058B,,,
Land Rover,Discovery,Turbo diesel ‐ (ES) ‐ automático / mecânico,93 ‐‐ 94,FAP4849,WO290,,FCD2058,FCD2058B,,,
Land Rover,Discovery II,‐‐,95 ‐‐ 98,FAP4849,WO290,,FCD2058,FCD2058B,,,
Land Rover,Discovery II,‐‐,99 ‐‐ 04,FAP4870,WO561,,FCD1119,,,,
Land Rover,Discovery III,(HSE / S / SE) ‐ gasolina ‐ automático,05 ‐‐ 09,FAP9023,WO551,,,,AKX1935,AKX1935/C,E
Land Rover,Discovery III,Turbo diesel ‐ (HSE / S / SE) ‐ automático,05 ‐‐ 09,FAP9023,WOE243,,FCD2164,,AKX1935,AKX1935/C,E
Land Rover,Discovery III,Turbo diesel ‐ (HSE / S / SE) ‐ automático,05 ‐‐ 09,FAP9023,WOE243,,FCD2167,,AKX1935,AKX1935/C,E
Land Rover,Discovery IV,(HSE) ‐ gasolina ‐ automático,2010 ‐‐>,FAP4860,WOE621,,,,AKX1935,AKX1935/C,E
Land Rover,Discovery IV,Turbo diesel ‐ (HSE / S / SE) ‐ automático,10 ‐‐ 12,FAP9023,WOE243,,FCD2167,,AKX1935,AKX1935/C,E
Land Rover,Discovery IV,Turbo diesel ‐ (HSE / S / SE) ‐ automático,2010 ‐‐>,FAP9023,WOE245,,FCD2167,,AKX1935,AKX1935/C,E
Land Rover,Discovery V,( S / SE / HSE)Turbo Diesel ‐ automático,2016 ‐‐>,FAP4860,WOE245,,FCD2081,,,AKX1965/C,E
Land Rover,Evoque,(Dynamic / Prestige / Pure) ‐ gasolina ‐ automático,2011 ‐‐>,FAP9287,WO153,,JFCL10,,AKX1936F,AKX1936/CF,E
Land Rover,Evoque,(SE / Zamzibar / Pure Tech / Autobiography) ‐ automático,2015 ‐‐>,FAP9294,WO153,,JFCL11,,AKX1936F,AKX1936/CF,
Land Rover,Evoque,SD4 Turbo diesel ‐ (Prestige / Tech) ‐ automático,2015 ‐‐>,FAP9287,WOE710,TFW710,FCD0940,,AKX1936F,AKX1936/CF,E
Land Rover,Freelander,‐‐,03 ‐‐ 05,FAP4870,WO550,,,,AKX1936F,AKX1936/CF,E
Land Rover,Freelander I,gasolina ‐ automático,99 ‐‐ 00,FAP4850,WO550,,FCI1566,,,,
Land Rover,Freelander I,Turbo diesel ‐ automático / mecânico,2000 ‐‐>,WR362,WOE300/3,,FCD2110,,AKX1933,,E
Land Rover,Freelander I,Turbo diesel ‐ automático / mecânico,98 ‐‐ 00,FAP4850,WO560,,FCD2066,,AKX1933,,E
Land Rover,Freelander II,(HSE / S / SE / Sport) ‐ gasolina ‐ automático,07 ‐‐ 10,FAP4847,WOE801,,JFCL10,,AKX1936F,AKX1936/CF,E
Land Rover,Freelander II,(HSE / S / SE / Sport) ‐ gasolina ‐ automático,2010 ‐‐>,FAP4845,WOE801,,,,AKX1938,AKX1938/C,E
Land Rover,Freelander II,SD4 Turbo diesel ‐ (Dynamic / HSE / S / SE) ‐ automático,2011 ‐‐>,FAP4845,WOE710,TFW710,FCD0940,,AKX1938,AKX1938/C,E
Land Rover,Freelander II,Si4 ‐ (Dynamic / HSE / S / SE) ‐ gasolina ‐ automático,2013 ‐‐>,FAP9287,WO153,,,,AKX1938,AKX1938/C,E
Land Rover,Range Rover,(HSE) ‐ gasolina ‐ automático,02 ‐‐ 05,WR325,WOE240,,FCI1567,,AKX1422,AKX1422/C,B
Land Rover,Range Rover,(HSE) ‐ gasolina ‐ automático,2006 ‐‐>,FAP9024,WO551,,,,AKX1422,AKX1422/C,B
Land Rover,Range Rover,(HSE) ‐ gasolina ‐ automático,96 ‐‐ 98,FAP4870,WO460,WUNI0001,FCI1105A,,AKX1419,,B
Land Rover,Range Rover,(HSE) ‐ gasolina ‐ automático,98 ‐‐ 05,FAP4870,WO290,,FCI1117,,AKX1419,,B
Land Rover,Range Rover,(Supercharged) ‐ gasolina ‐ automático,07 ‐‐ 09,FAP9024,WO551,,,,AKX1422,AKX1422/C,B
Land Rover,Range Rover,HSE ‐ (Sport / Supercharged) ‐ gasolina / automático,14 – 16,FAP4860,WOE621,,,,AKX1965,AKX1965/C,
Land Rover,Range Rover Sport,(SE / HSE / Supercharged) ‐ gasolina ‐ automático,2010 ‐‐>,FAP4860,WOE621,,,,AKX1935,AKX1935/C,E
Land Rover,Range Rover Sport,diesel,2014 ‐‐>,FAP4860,,,FCD0181,,AKX1965,AKX1965/C,B
Land Rover,Range Rover Sport,Range Rover Turbo diesel ‐ automático,02 ‐‐ 06,WR278,WOE212,WOE250,FCD2080,,AKX1422,AKX1422/C,B
Land Rover,Range Rover Sport,Range Rover Turbo diesel ‐ automático,94 ‐‐ 02,FAP4852,WO250,,FCD2058,FCD2058B,AKX1419,,B
Land Rover,Range Rover Sport,Range Rover Turbo diesel ‐ automático,94 ‐‐ 02,FAP4870,WOE210,,FCD2058,FCD2058B,AKX1419,,B
Land Rover,Range Rover Sport,Turbo diesel ‐ (HSE) ‐ automático,2006 ‐‐>,FAP9023,WOE243,,FCD2164,,AKX1935,AKX1935/C,E
Land Rover,Range Rover Sport,Turbo diesel ‐ (SE / HSE) ‐ automático,10 ‐‐ 13,FAP9023,WOE245,,FCD2167,,AKX1935,AKX1935/C,E
Land Rover,Range Rover Sport,Turbo diesel ‐ (SE / HSE) ‐ automático,2007 ‐‐>,FAP9023,WOE246,,FCD2218,,AKX1935,AKX1935/C,E
Land Rover,Range Rover Velar,Range Rover ‐ Velar ‐ P300,2018 ‐‐>,FAP9311,WOE247,,,,AKX1965,AKX1965/C,
Land Rover,Range Rover Vogue,‐‐,2014 ‐‐>,FAP4860,,,FCD0181,,AKX1965,AKX1965/C,B
Land Rover,Range Rover Vogue,(LP) ‐ gasolina ‐ automático,94 ‐‐ 02,FAP4870,WO250,,FCI1117,,AKX1419,,C
Land Rover,Range Rover Vogue,(SD / SE) ‐ gasolina ‐ automático,2010 ‐‐>,FAP9024,WOE246,,,,AKX1422,AKX1422/C,B
Land Rover,Range Rover Vogue,(Supercharged) ‐ gasolina ‐ automático,2010 ‐‐>,FAP4860,WOE240,,,,,,
Land Rover,Range Rover Vogue,TD Turbo diesel ‐ (SD / SE) ‐ automático,2011 ‐‐>,FAP4860,WOE455,,,,AKX1422,AKX1422/C,B
Land Rover,Range Rover Vogue,Turbo diesel ‐ automático,2014 ‐‐>,FAP4860,WOE245,,FCD2167,,AKX1935,AKX1935/C,E
Lexus,CT200h,Hibrído ‐ (Luxury) ‐ gasolina ‐ mecânico,2013 ‐‐>,JFA0289,WOE803,TFW803,,,AKX1965,AKX1965/C,D
Lexus,ES 300,(Japão) ‐ gasolina ‐ automático,até 1995,FAP6013,JFO0211,WO153,JFC227,,,,
Lexus,ES 300,(USA) ‐ gasolina ‐ automático,até 1995,JFA0298,JFO0211,WO153,JFC227,,,,
Lexus,ES 300,gasolina ‐ automático,97 ‐‐ 03,JFA0298,JFO0211,WO153,JFC227,,,,
Lexus,ES 330,gasolina ‐ automático,05 ‐‐ 06,JFA0252,JFO0211,WO153,,,AKX1964,AKX1964/C,D
Lexus,ES 350,gasolina ‐ automático,2006 ‐‐>,JFA0257,WOE802,,,,AKX1965,AKX1965/C,D
Lexus,GS 300,gasolina ‐ automático,93 ‐‐ 96,JFA0295,JFO0211,WO153,FCI1566,,,,
Lexus,GS 300,gasolina ‐ automático,97 ‐‐ 00,JFA0280,JFO0211,WO153,,,,,
Lexus,LS 400,(F11) ‐ gasolina ‐ automático,até 1995,JFA0247,JFO0211,WO153,FCI1566,,,,
Lexus,LS 400,(U27) ‐ gasolina ‐ automático,97 ‐‐ 00,JFA0294,JFO0211,WO153,FCI1566,,,,
Lexus,LS 430,gasolina ‐ automático,2001 ‐‐>,JFA0281,JFO0211,,,,AKX35177,AKX35177/C,D
Lexus,LS 460,gasolina ‐ automático,2007 ‐‐>,JFA0202,WOE804,,,,AKX1965,AKX1965/C,D
Lexus,NX 200t,(F‐Sport / Luxury) ‐ gasolina ‐ automático,15 ‐‐ 17,JFA0507,WOE802,,,,AKX1965,AKX1965/C,D
Lexus,NX 300,"(Dynamic, F‐Sport, Luxury) ‐ gasolina – automático",2017 ‐‐>,JFA0507,WOE802,,,,AKX1965,AKX1965/C,D
Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Lexus,RX 300,gasolina ‐ automático,99 ‐‐ 02,JFA0298,JFO0211,WO153,,,AKX2160,,D
Lexus,RX 350,(F‐Sport / Luxury) ‐ gasolina ‐ automático,2012 ‐‐>,JFA0993,WOE802,,,,AKX1964,AKX1964/C,D
Lifan,320,(Elite) ‐ gasolina ‐ mecânico,2010 ‐‐>,JFA0L00,JFO0604,JFO0210,JFCL00,,,,
Lifan,620,(Talent) ‐ gasolina ‐ mecânico,2010 ‐‐>,JFA0283,JFO0604,JFO0210,JFCL01,,AKX1962,AKX1962/C,D
Lifan,530 Talent,‐‐,2015 ‐‐>,JFA0L00,JFO0604,JFO0210,FCI1110S,,AKX1962,AKX1962/C,D
Lifan,X60,‐‐,2018 ‐‐>,JFA0L06,JFO0604,,JFCL00,,AKX1962,AKX1962/C,
Lifan,X60,gasolina ‐ mecânico,2013 ‐‐>,JFA0L01,JFO0210/1,,JFCL00,,AKX1962,AKX1962/C,D
Lifan,X80,Turbo ‐ (VIP) ‐ gasolina ‐ automático,2019 ‐‐>,JFA0L04,WO592,,JFCL00,,AKX1965,AKX1965/C,D
Mahindra Goa,Pick up,(CD / CS) ‐ mecânico,2013 ‐‐>,JFA0F21,JFO0M00,,,,AKX1760,,F
Mahindra Goa,Scorpio,CRD Turbo diesel ‐ mecânico,08 ‐‐ 10,JFA0F20,JFO0M00,,FCD2076,,AKX35163,AKX35163/C,E
Mahindra Goa,Scorpio,CRD Turbo diesel ‐ mecânico,2010 ‐‐>,JFA0F20,JFO0M00,,FCD2076,,AKX1760,,E
Mahindra Goa,SUV,(CD / CS) ‐ mecânico,08 ‐‐ 10,JFA0F20,JFO0M00,,FCD2076,,AKX35163,AKX35163/C,E
Mahindra Goa,SUV,(GLX) ‐ mecânico,2010 ‐‐>,JFA0F20,JFO0M00,,FCD2076,,AKX1760,,F
Mahindra Goa,SUV,4x4 Completa,2015 ‐‐>,JFA0F21,JFO0M00,,,,AKX1760,,F
Maserati,Ghibli,gasolina ‐ automático,2014 ‐‐>,JFA0W20‐2,WOE655,,,,,,
Maserati,Levante,gasolina ‐ automático,2017 ‐‐>,JFA0W20‐2,WOE655,,,,,,
Maserati,Quattroporte GTS,gasolina ‐ automático,2014 ‐‐>,JFA0W20‐2,WOE655,,,,,,
Mazda,121,gasolina ‐ mecânico,88 ‐‐ 91,JFA0316,JFO0313,,,,,,
Mazda,121,gasolina ‐ mecânico,92 ‐‐ 95,JFA0316,JFO0313,,JFC315,,,,
Mazda,323,‐‐,91 ‐‐ 94,JFA0323,JFO0313,,JFC315,,,,
Mazda,323,gasolina ‐ mecânico,94 ‐‐ 95,FAP3255,JFO0313,,JFC315,,,,
Mazda,626,(GLX) ‐ gasolina ‐ mecânico,95 ‐‐ 00,JFA0327,JFO0313,,JFC397,,,,
Mazda,626,(LEI / LXI) ‐ gasolina ‐ mecânico,97 ‐‐ 00,JFA0327,JFO0315,,JFC397,,AKX1941,,E
Mazda,626,gasolina ‐ mecânico,95 ‐‐ 97,JFA0327,JFO0315,,JFC397,,,,
Mazda,929,gasolina ‐ automático,87 ‐‐ 92,JFA0317,JFO0313,,JFC313,,,,
Mazda,929,gasolina ‐ automático,94 ‐‐ 95,FAP3221,JFO0315,,JFCK10,,,,
Mazda,B2200,diesel ‐ (CD / CD) ‐ mecânico,93 ‐‐ 95,JFA0313,JFO0306,,JFC303,,,,
Mazda,B2500,diesel ‐ (CD / CS) ‐ mecânico,2000,JFA0383,JFO0213,,JFC215,,,,
Mazda,B2500,diesel ‐ (CD / CS) ‐ mecânico,98 ‐‐ 99,JFA0392,JFO0505P,,JFC303,,,,
Mazda,E2000,diesel ‐ mecânico,88 ‐‐ 89,FAP3221,JFO0313,,,,,,
Mazda,E2200,diesel ‐ mecânico,84 ‐‐ 91,JFA0611,JFO0306,,JFC303,,,,
Mazda,MPV,gasolina ‐ mecânico,92 ‐‐ 00,FAP4022,JFO0315,,JFC391,,,,
Mazda,MX3,(GS) ‐ gasolina ‐ mecânico,91 ‐‐ 98,JFA0330,JFO0315,,JFC391,,,,
Mazda,MX3,(GS) ‐ gasolina ‐ mecânico,93 ‐‐ 98,JFA0330,JFO0313,,JFC315,,,,
Mazda,MX5,(Miata) ‐ gasolina ‐ mecânico,92 ‐‐ 95,JFA0323,JFO0313,,JFC315,,,,
Mazda,MX5,(Miata) ‐ gasolina ‐ mecânico,92 ‐‐ 95,JFA0327,JFO0313,,JFC316,,,,
Mazda,MX6,gasolina ‐ mecânico,92 ‐‐ 95,JFA0327,JFO0315,,JFC397,,,,
Mazda,Xedos,6 ‐ gasolina ‐ mecânico,1992 ‐‐>,JFA0329,JFO0315,,JFC397,,,,
Mazda,Xedos,9 ‐ gasolina ‐ mecânico,1993 ‐‐>,JFA0599,JFO0315,,,,,,
Mercedes Benz,500,‐‐,91 ‐‐ 93,FAP3243,WEO0591/1,,FCI1110B,,,,
Mercedes Benz,500,SE ‐ (W140 ‐ Sedã) ‐ gasolina ‐ automático,91 ‐‐ 93,FAP3243,WEO0591/1,,FCI1110B,,,,
Mercedes Benz,500,SEL ‐ (W140 ‐ Sedã) ‐ gasolina ‐ automático,91 ‐‐ 93,FAP3243,WEO0591/1,,FCI1110B,,,,
Mercedes Benz,500,SL ‐ (R129 ‐ Classic / Sedã) ‐ gasolina ‐ automático,89 ‐‐ 92,FAP4019,WEO0591/1,,FCI1110B,,,,
Mercedes Benz,500,SL ‐ (R129 ‐ Classic / Sedã) ‐ gasolina ‐ automático,92 ‐‐ 93,FAP3243,WEO0591/1,,FCI1110B,,,,
Mercedes Benz,560,‐‐,85 ‐‐ 91,WR206,WEO0511,,FCI1110B,,,,
Mercedes Benz,190 E,‐‐,86 ‐‐ 88,FAP4009,,,FCI1106A,,,,
Mercedes Benz,190 E,(W201 ‐ Sedã) ‐ gasolina ‐ automático / mecânico,88 ‐‐ 93,FAP4032,,,FCI1106A,,,,
Mercedes Benz,190 E,(W201 ‐ Sedã) ‐ gasolina ‐ mecânico,86 ‐‐ 93,FAP4028,,,FCI1110B,,,,
Mercedes Benz,230 E,‐‐,85 ‐‐ 88,FAP4009,,,FCI1106A,,,,
Mercedes Benz,230 E,‐‐,88 ‐‐ 93,FAP4032,,,FCI1106A,,,,
Mercedes Benz,260 E,‐‐,85 ‐‐ 86,FAP4013,,,FCI1106A,,,,
Mercedes Benz,260 E,‐‐,86 ‐‐ 92,FAP4013,,,FCI1110B,,,,
Mercedes Benz,300 SE,‐‐,91 ‐‐ 93,WR205,WOE430,TFW430,FCI1110B,,,,
Mercedes Benz,300 SE / SEL,‐‐,1993 ‐‐>,FAP4856,WOE430,TFW430,FCI1112,,,,
Mercedes Benz,300 SEL,(W140) ‐ gasolina ‐ automático / mecânico,91 ‐‐ 93,WR205,WOE430,TFW430,FCI1110B,,,,
Mercedes Benz,300 SL,‐‐,89 ‐‐ 93,FAP4013,,,FCI1110B,,,,
Mercedes Benz,A200,A200 Turbo ‐ (Advance/Style/Hatch/Sedan) ‐ gasolina,2019 ‐‐>,FAP9125,WOE459,,,,,AKX3598/C,
Mercedes Benz,A250,A250 Turbo ‐ (Vision/Launch Edition/Hatch/Sedan) ‐ gasolina,2019 ‐‐>,FAP9155,,,,,,AKX3598/C,
Mercedes Benz,AMG A35,(4Matic/Turbo) ‐ gasolina / automático,2020 ‐‐>,FAP9125,WOE458,TFW458,,,,,
Mercedes Benz,AMG A45 S,(4Matic/Turbo) ‐ gasolina / automático,2020 ‐‐>,WR329,WOE461,,,,,AKX3598/C,
Mercedes Benz,AMG C 43,(C205),2016 ‐‐>,FAP4090‐2,,,,,AKX35161/C,,
Mercedes Benz,Classe A,160 ‐ (W168 ‐ Classic / Spirit / Elegance) ‐ gasolina ‐ mecânico / Semi ‐ automático,99 ‐‐ 05,WR327/1,WOE410,TFW410,FCI1947,,AKX35667,AKX35667/C,B
Mercedes Benz,Classe A,190 ‐ (AvantGarde / Classic / Spirit / Elegance) ‐ gasolina ‐ automático / mecânico,01 ‐‐ 05,WR327/1,WOE410,TFW410,FCI1947,,AKX35667,AKX35667/C,B
Mercedes Benz,Classe A,200 ‐ (W169 ‐ Elegance) ‐ gasolina ‐ automático,06 ‐‐ 10,FAP9017,WOE308,,,,AKX3575,AKX3575/C,B
Mercedes Benz,Classe A,200 CGI Turbo ‐ (W176 ‐ Style / Urban) ‐ gasolina ‐ automático,2013 ‐‐>,FAP9292,WOE458,TFW458,,,AKX3591,AKX3591/C,E
Mercedes Benz,Classe A,250 Turbo ‐ (Sport) ‐ gasolina ‐ automático,2014 ‐‐>,FAP9292,WOE458,TFW458,,,AKX3591,AKX3591/C,E
Mercedes Benz,Classe B,170 ‐ (W245) ‐ gasolina ‐ automático,05 ‐‐ 09,FAP9017,WOE308,,,,AKX3575,AKX3575/C,B
Mercedes Benz,Classe B,180 ‐ (W245 ‐ Confort / Family) ‐ gasolina ‐ automático,2009 ‐‐>,FAP9017,WOE308,,,,AKX3575,AKX3575/C,B
Mercedes Benz,Classe B,200 CGI Turbo ‐ (W246 ‐ Sport) ‐ gasolina ‐ automático,2012 ‐‐>,FAP9292,WOE458,TFW458,,,AKX3591,AKX3591/C,E
